date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:22:39	20117/20117	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Sep%202024%2009:22:40%20GMT	https://hesapmakinesi.com/	C:/My%20Web%20Sites/hesap%20makinesi/hesapmakinesi.com/index.html	(from )
12:22:39	71/71	---M--	200	added ('OK')	text/plain	date:Mon,%2027%20May%202024%2009:42:30%20GMT	https://hesapmakinesi.com/robots.txt		(from )
12:22:39	344/344	---M--	200	added ('OK')	image/png	date:Sat,%2004%20May%202024%2014:01:56%20GMT	https://hesapmakinesi.com/content/themes/2024/assets/img/favicon.png	C:/My%20Web%20Sites/hesap%20makinesi/hesapmakinesi.com/content/themes/2024/assets/img/favicon.png	(from https://hesapmakinesi.com/)
12:22:39	232948/232948	---M-Z	200	added ('OK')	text/css	date:Sat,%2004%20May%202024%2014:01:56%20GMT	https://hesapmakinesi.com/content/themes/2024/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/hesap%20makinesi/hesapmakinesi.com/content/themes/2024/assets/css/bootstrap.min.css	(from https://hesapmakinesi.com/)
12:22:40	39141/39141	---M-Z	200	added ('OK')	text/css	date:Sat,%2004%20May%202024%2014:01:56%20GMT	https://hesapmakinesi.com/content/themes/2024/assets/css/hm.min.css?v=3	C:/My%20Web%20Sites/hesap%20makinesi/hesapmakinesi.com/content/themes/2024/assets/css/hm.min30f4.css	(from https://hesapmakinesi.com/)
12:22:40	1678/1678	---M--	200	added ('OK')	image/webp	date:Sat,%2004%20May%202024%2014:01:58%20GMT	https://hesapmakinesi.com/img/hesapmakinesi.webp	C:/My%20Web%20Sites/hesap%20makinesi/hesapmakinesi.com/img/hesapmakinesi.webp	(from https://hesapmakinesi.com/)
12:22:40	14326/14326	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Sep%202024%2009:22:41%20GMT	https://hesapmakinesi.com/sayfa/oneri.html	C:/My%20Web%20Sites/hesap%20makinesi/hesapmakinesi.com/sayfa/oneri.html	(from https://hesapmakinesi.com/)
12:22:40	24496/24496	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20Sep%202024%2009:22:41%20GMT	https://hesapmakinesi.com/ihtiyac-kredisi-hesaplama.html	C:/My%20Web%20Sites/hesap%20makinesi/hesapmakinesi.com/ihtiyac-kredisi-hesaplama.html	(from https://hesapmakinesi.com/)
12:22:41	23053/23053	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20Sep%202024%2009:22:42%20GMT	https://hesapmakinesi.com/tasit-kredisi-hesaplama.html	C:/My%20Web%20Sites/hesap%20makinesi/hesapmakinesi.com/tasit-kredisi-hesaplama.html	(from https://hesapmakinesi.com/)
12:22:41	19037/19037	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20Sep%202024%2009:22:42%20GMT	https://hesapmakinesi.com/kredi-erken-kapatma-cezasi-hesaplama.html	C:/My%20Web%20Sites/hesap%20makinesi/hesapmakinesi.com/kredi-erken-kapatma-cezasi-hesaplama.html	(from https://hesapmakinesi.com/)
